COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Piemonte 1 - U01;Piemonte 1;AZN;25817.30200638352;113802.13112157024
Piemonte 1 - U02;Piemonte 1;AZN;13222.756014528479;105371.58089447208
Piemonte 1 - U03;Piemonte 1;AZN;15591.288007271143;165526.65388635165
Piemonte 1 - U04;Piemonte 1;AZN;13987.907978209983;149198.9660488218
Piemonte 1 - U05;Piemonte 1;AZN;14269.278968587194;153291.07992081717
Piemonte 2 - U01;Piemonte 2;AZN;9290.275693660124;135859.3112794757
Piemonte 2 - U02;Piemonte 2;AZN;10411.608899564744;142113.06346663833
Piemonte 2 - U03;Piemonte 2;AZN;10156.88362771653;128280.5985716423
Piemonte 2 - U04;Piemonte 2;AZN;12007.569894742333;140802.9118091464
Piemonte 2 - U05;Piemonte 2;AZN;15590.853973909718;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;AZN;25.229838061878453;66370.0
Lombardia 1 - U01;Lombardia 1;AZN;14358.584389663727;155342.18295099214
Lombardia 1 - U02;Lombardia 1;AZN;11948.019284609529;166330.60099975206
Lombardia 1 - U03;Lombardia 1;AZN;14432.242200844927;161392.83924120665
Lombardia 1 - U04;Lombardia 1;AZN;11450.684059165373;162454.4642060995
Lombardia 1 - U05;Lombardia 1;AZN;10800.470624362537;162263.28040081263
Lombardia 1 - U06;Lombardia 1;AZN;10614.052326746645;145273.73823688924
Lombardia 1 - U07;Lombardia 1;AZN;15437.651847670788;116214.26745604724
Lombardia 1 - U08;Lombardia 1;AZN;16928.997526184357;118016.15918585658
Lombardia 1 - U09;Lombardia 1;AZN;31959.43794825442;119594.91208931943
Lombardia 2 - U01;Lombardia 2;AZN;11025.002522452933;151474.4790506959
Lombardia 2 - U02;Lombardia 2;AZN;12150.53537640718;174974.32298791409
Lombardia 2 - U03;Lombardia 2;AZN;12242.957654168564;157354.16139608622
Lombardia 2 - U04;Lombardia 2;AZN;8189.778789232947;133922.43349497765
Lombardia 2 - U05;Lombardia 2;AZN;8521.977608391384;129181.15250968933
Lombardia 3 - U01;Lombardia 3;AZN;7348.510172987833;151186.97870968655
Lombardia 3 - U02;Lombardia 3;AZN;9039.760855463894;176926.93462750036
Lombardia 3 - U03;Lombardia 3;AZN;6924.335081965386;156350.3343309611
Lombardia 3 - U04;Lombardia 3;AZN;9998.40753497348;149379.0475662127
Lombardia 3 - U05;Lombardia 3;AZN;7135.125546848386;147577.86525928974
Lombardia 4 - U01;Lombardia 4;AZN;9393.101077811032;142901.90666890144
Lombardia 4 - U02;Lombardia 4;AZN;9859.323443688336;161276.5622330904
Lombardia 4 - U03;Lombardia 4;AZN;7170.597492808585;147015.1864758432
Lombardia 4 - U04;Lombardia 4;AZN;7132.412917240985;141194.9422620237
Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol;AZN;9667.740093450766;104570.47535815835
Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol;AZN;6971.251420610791;90116.22547957301
Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol;AZN;2807.594226086783;74605.34712642431
Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol;AZN;1347.2447536923664;73360.85453355312
Veneto 1 - U01;Veneto 1;AZN;10089.813607507038;145419.14242082834
Veneto 1 - U02;Veneto 1;AZN;7661.2092504869715;144522.44762330689
Veneto 1 - U03;Veneto 1;AZN;11130.338799131607;145043.18329924345
Veneto 1 - U04;Veneto 1;AZN;6917.951463046767;116333.22060774267
Veneto 1 - U05;Veneto 1;AZN;8406.888648550661;114457.11759376526
Veneto 2 - U01;Veneto 2;AZN;6764.946191412165;151384.72868398073
Veneto 2 - U02;Veneto 2;AZN;9935.541567644374;185420.16187389195
Veneto 2 - U03;Veneto 2;AZN;11753.517604740933;182345.41396042705
Veneto 2 - U04;Veneto 2;AZN;11017.709525696553;172862.6856917739
Veneto 2 - U05;Veneto 2;AZN;11317.193511328149;154069.73023663834
Veneto 2 - U06;Veneto 2;AZN;8357.41374106766;125778.40077978373
Veneto 2 - U07;Veneto 2;AZN;5184.711282907933;121109.24212008715
Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia;AZN;9734.307159943924;134944.3755803192
Friuli-Venezia Giulia - U02;Friuli-Venezia Giulia;AZN;10495.636017170737;129862.58529174328
Friuli-Venezia Giulia - U03;Friuli-Venezia Giulia;AZN;9328.811600914247;107987.75032508373
Liguria - U01;Liguria;AZN;9635.404903832743;140206.25134152174
Liguria - U02;Liguria;AZN;11663.394309153151;139913.20601949096
Liguria - U03;Liguria;AZN;16751.963889374005;149881.56551187485
Liguria - U04;Liguria;AZN;13031.777847400292;145910.85632365942
Emilia-Romagna - U01;Emilia-Romagna;AZN;8989.601303635767;140927.6889091581
Emilia-Romagna - U02;Emilia-Romagna;AZN;8259.847286264156;113448.21436924208
Emilia-Romagna - U03;Emilia-Romagna;AZN;9890.172149696118;159364.89714206755
Emilia-Romagna - U04;Emilia-Romagna;AZN;9496.651472409801;157124.4761686921
Emilia-Romagna - U05;Emilia-Romagna;AZN;12060.447257358108;141494.56239131838
Emilia-Romagna - U06;Emilia-Romagna;AZN;20305.093476672107;142816.0556665659
Emilia-Romagna - U07;Emilia-Romagna;AZN;8810.299480728574;134318.2851304561
Emilia-Romagna - U08;Emilia-Romagna;AZN;10639.531244520102;156977.86355882883
Emilia-Romagna - U09;Emilia-Romagna;AZN;10190.805221662582;149973.1619616598
Emilia-Romagna - U10;Emilia-Romagna;AZN;9941.964516508626;155404.75969600677
Emilia-Romagna - U11;Emilia-Romagna;AZN;9667.11534084323;159788.7605141364
Toscana - U01;Toscana;AZN;9966.458676431208;149355.4139021486
Toscana - U02;Toscana;AZN;7612.26498356449;149406.66788220406
Toscana - U03;Toscana;AZN;10104.829213297657;152437.21486014128
Toscana - U04;Toscana;AZN;8101.858423981331;145871.1063478291
Toscana - U05;Toscana;AZN;9215.570149739588;153910.1246420741
Toscana - U06;Toscana;AZN;10334.377009165511;149708.33666154742
Toscana - U07;Toscana;AZN;17475.59324547314;129478.44414955378
Toscana - U08;Toscana;AZN;10700.862711860085;150890.525398463
Toscana - U09;Toscana;AZN;10549.738253931686;152665.4813413322
Umbria - U01;Umbria;AZN;7537.653099211682;164847.33504608274
Umbria - U02;Umbria;AZN;7681.083889017006;166781.36907577515
Marche - U01;Marche;AZN;5364.824493540527;139661.4317945838
Marche - U02;Marche;AZN;5902.806734928296;143917.76110163797
Marche - U03;Marche;AZN;8522.119613166076;143457.31587794423
Marche - U04;Marche;AZN;7820.3924301093575;136705.5038907528
Lazio 1 - U01;Lazio 1;AZN;22888.060690835933;117779.3136776532
Lazio 1 - U02;Lazio 1;AZN;15413.844918543258;151245.0404467024
Lazio 1 - U03;Lazio 1;AZN;11209.050739855807;145990.37477337196
Lazio 1 - U04;Lazio 1;AZN;14072.103884761758;145063.93301572406
Lazio 1 - U05;Lazio 1;AZN;12031.030360787292;156877.22077150503
Lazio 1 - U06;Lazio 1;AZN;11983.98834576691;157605.0334701985
Lazio 1 - U07;Lazio 1;AZN;14721.059208899038;145916.20750663534
Lazio 1 - U08;Lazio 1;AZN;7388.716071040798;155503.2782868743
Lazio 1 - U09;Lazio 1;AZN;6301.995701732872;146216.8761858344
Lazio 2 - U01;Lazio 2;AZN;7451.758554169695;156843.07686042786
Lazio 2 - U02;Lazio 2;AZN;7449.106280934281;143712.79618211437
Lazio 2 - U03;Lazio 2;AZN;6159.69789732301;160518.01508493721
Lazio 2 - U04;Lazio 2;AZN;4196.893782903736;138931.90569519997
Lazio 2 - U05;Lazio 2;AZN;4271.067339145786;133985.94785016775
Abruzzo - U01;Abruzzo;AZN;4752.851816176967;136305.1880313158
Abruzzo - U02;Abruzzo;AZN;5982.156246445275;151112.41444548965
Abruzzo - U03;Abruzzo;AZN;9834.869488574852;143087.27421835065
Molise - U01;Molise;AZN;2221.4541960546803;80368.12514704466
Campania 1 - U01;Campania 1;AZN;3278.96969335015;144315.62187364697
Campania 1 - U02;Campania 1;AZN;4414.337340148177;102840.80699807405
Campania 1 - U03;Campania 1;AZN;3545.618040851335;109623.68663460016
Campania 1 - U04;Campania 1;AZN;2646.7150625523755;144440.5915197134
Campania 1 - U05;Campania 1;AZN;2894.207027057558;131289.49548742175
Campania 1 - U06;Campania 1;AZN;2579.728781131402;122962.94953491539
Campania 1 - U07;Campania 1;AZN;4169.714170328109;124879.43610522151
Campania 2 - U01;Campania 2;AZN;5078.548826215318;146919.712641716
Campania 2 - U02;Campania 2;AZN;5992.157870629572;152167.38775396347
Campania 2 - U03;Campania 2;AZN;4395.562689433109;132657.59531963803
Campania 2 - U04;Campania 2;AZN;3513.032529858819;127699.89764669538
Campania 2 - U05;Campania 2;AZN;6954.645914717866;153587.94384020567
Campania 2 - U06;Campania 2;AZN;5052.614508246424;136932.22300910018
Campania 2 - U07;Campania 2;AZN;4985.107655531793;124357.14047966897
Puglia - U01;Puglia;AZN;2449.0842176917085;102947.97077968718
Puglia - U02;Puglia;AZN;2436.648253856145;110787.80824098736
Puglia - U03;Puglia;AZN;3177.2674278823924;140144.58267345652
Puglia - U04;Puglia;AZN;5052.382051674154;142385.0462103784
Puglia - U05;Puglia;AZN;5954.669100585039;155022.90193790197
Puglia - U06;Puglia;AZN;4024.5728188673475;146019.6937366724
Puglia - U07;Puglia;AZN;3144.8477920387118;118538.85163891315
Puglia - U08;Puglia;AZN;3691.405896220302;127565.16245821118
Puglia - U09;Puglia;AZN;6978.758437085771;139369.32061704993
Puglia - U10;Puglia;AZN;5216.983649579304;142511.10071244836
Basilicata - U01;Basilicata;AZN;4625.664993448902;152766.11077153683
Calabria - U01;Calabria;AZN;1854.5927432573537;104175.83897622116
Calabria - U02;Calabria;AZN;3235.1107277851647;120919.8990795482
Calabria - U03;Calabria;AZN;2459.911434349229;108669.00457540154
Calabria - U04;Calabria;AZN;2797.392609305245;112757.23446691409
Calabria - U05;Calabria;AZN;3214.792830281252;116825.8727338314
Sicilia 1 - U01;Sicilia 1;AZN;4147.756192373579;100567.70392146707
Sicilia 1 - U02;Sicilia 1;AZN;3089.031729233538;143283.84437191486
Sicilia 1 - U03;Sicilia 1;AZN;3379.4430700021817;131974.823687315
Sicilia 1 - U04;Sicilia 1;AZN;2402.6201468691597;113307.3988626767
Sicilia 1 - U05;Sicilia 1;AZN;2154.0433850455593;124669.47102713585
Sicilia 1 - U06;Sicilia 1;AZN;2833.2150541577143;140046.88969907165
Sicilia 2 - U01;Sicilia 2;AZN;2906.6328507965463;124848.07153502107
Sicilia 2 - U02;Sicilia 2;AZN;4163.944227193744;134480.91639989614
Sicilia 2 - U03;Sicilia 2;AZN;3106.1030057841995;138201.1140266955
Sicilia 2 - U04;Sicilia 2;AZN;2080.6046287897275;100643.31165596843
Sicilia 2 - U05;Sicilia 2;AZN;3244.8869864678295;116477.67625188828
Sicilia 2 - U06;Sicilia 2;AZN;3955.566246334105;144798.08882173896
Sardegna - U01;Sardegna;AZN;9575.398605622524;161458.33297353983
Sardegna - U02;Sardegna;AZN;6077.699023579181;148729.19014931098
Sardegna - U03;Sardegna;AZN;4902.02166741875;121324.0268291384
Sardegna - U04;Sardegna;AZN;4900.221744814721;127508.71752074361
Piemonte 1 - U01;Piemonte 1;FDI;24246.386342785987;113802.13112157024
Piemonte 1 - U02;Piemonte 1;FDI;18869.514595287113;105371.58089447208
Piemonte 1 - U03;Piemonte 1;FDI;28613.316117113183;165526.65388635165
Piemonte 1 - U04;Piemonte 1;FDI;29272.490780596832;149198.9660488218
Piemonte 1 - U05;Piemonte 1;FDI;28137.6222237058;153291.07992081717
Piemonte 2 - U01;Piemonte 2;FDI;27834.811360471784;135859.3112794757
Piemonte 2 - U02;Piemonte 2;FDI;32911.24635437361;142113.06346663833
Piemonte 2 - U03;Piemonte 2;FDI;33614.246696822745;128280.5985716423
Piemonte 2 - U04;Piemonte 2;FDI;32216.579997143046;140802.9118091464
Piemonte 2 - U05;Piemonte 2;FDI;39329.82953414926;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;FDI;28426.69090568344;66370.0
Lombardia 1 - U01;Lombardia 1;FDI;29888.890132724617;155342.18295099214
Lombardia 1 - U02;Lombardia 1;FDI;32525.003920243926;166330.60099975206
Lombardia 1 - U03;Lombardia 1;FDI;32442.20491114321;161392.83924120665
Lombardia 1 - U04;Lombardia 1;FDI;34169.97723100133;162454.4642060995
Lombardia 1 - U05;Lombardia 1;FDI;33751.19118688607;162263.28040081263
Lombardia 1 - U06;Lombardia 1;FDI;25629.560355375463;145273.73823688924
Lombardia 1 - U07;Lombardia 1;FDI;24250.01743351277;116214.26745604724
Lombardia 1 - U08;Lombardia 1;FDI;25494.514974927693;118016.15918585658
Lombardia 1 - U09;Lombardia 1;FDI;29202.947496073903;119594.91208931943
Lombardia 2 - U01;Lombardia 2;FDI;30081.140011482523;151474.4790506959
