COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Piemonte 1 - U01;Piemonte 1;AZIONE-IV;20191.396845949213;113802.13112157024
Piemonte 1 - U02;Piemonte 1;AZIONE-IV;10160.526159824027;105371.58089447208
Piemonte 1 - U03;Piemonte 1;AZIONE-IV;11822.000901073998;165526.65388635165
Piemonte 1 - U04;Piemonte 1;AZIONE-IV;10603.579349146738;149198.9660488218
Piemonte 1 - U05;Piemonte 1;AZIONE-IV;10812.683908690262;153291.07992081717
Piemonte 2 - U01;Piemonte 2;AZIONE-IV;6901.324490719289;135859.3112794757
Piemonte 2 - U02;Piemonte 2;AZIONE-IV;7773.27094792469;142113.06346663833
Piemonte 2 - U03;Piemonte 2;AZIONE-IV;7622.863821151416;128280.5985716423
Piemonte 2 - U04;Piemonte 2;AZIONE-IV;9053.50133744575;140802.9118091464
Piemonte 2 - U05;Piemonte 2;AZIONE-IV;11863.122698981988;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;AZIONE-IV;100.0;66370.0
Lombardia 1 - U01;Lombardia 1;AZIONE-IV;10876.163292502102;155342.18295099214
Lombardia 1 - U02;Lombardia 1;AZIONE-IV;8907.88230133362;166330.60099975206
Lombardia 1 - U03;Lombardia 1;AZIONE-IV;10911.780004101029;161392.83924120665
Lombardia 1 - U04;Lombardia 1;AZIONE-IV;8525.389353916667;162454.4642060995
Lombardia 1 - U05;Lombardia 1;AZIONE-IV;8006.592446314008;162263.28040081263
Lombardia 1 - U06;Lombardia 1;AZIONE-IV;7922.8882180459905;145273.73823688924
Lombardia 1 - U07;Lombardia 1;AZIONE-IV;11888.623533980219;116214.26745604724
Lombardia 1 - U08;Lombardia 1;AZIONE-IV;13073.313016647937;118016.15918585658
Lombardia 1 - U09;Lombardia 1;AZIONE-IV;25076.81686379012;119594.91208931943
Lombardia 2 - U01;Lombardia 2;AZIONE-IV;8227.43065540965;151474.4790506959
Lombardia 2 - U02;Lombardia 2;AZIONE-IV;9036.500410354536;174974.32298791409
Lombardia 2 - U03;Lombardia 2;AZIONE-IV;9178.016192956311;157354.16139608622
Lombardia 2 - U04;Lombardia 2;AZIONE-IV;6029.447953802273;133922.43349497765
Lombardia 2 - U05;Lombardia 2;AZIONE-IV;6313.0887509997;129181.15250968933
Lombardia 3 - U01;Lombardia 3;AZIONE-IV;5290.9574562755215;151186.97870968655
Lombardia 3 - U02;Lombardia 3;AZIONE-IV;6543.442000802126;176926.93462750036
Lombardia 3 - U03;Lombardia 3;AZIONE-IV;4932.205173253155;156350.3343309611
