COLLEGIOPLURINOMINALE;COLLEGIOUNINOMINALE;CIRCOSCRIZIONE
Valle d'aosta/Vallée d'Aoste;Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste
Piemonte 2 - P01;Piemonte 2 - U02;Piemonte 2
Piemonte 1 - P02;Piemonte 1 - U04;Piemonte 1
Piemonte 2 - P02;Piemonte 2 - U05;Piemonte 2
Piemonte 2 - P02;Piemonte 2 - U04;Piemonte 2
Piemonte 2 - P01;Piemonte 2 - U03;Piemonte 2
Piemonte 2 - P02;Piemonte 2 - U01;Piemonte 2
Liguria - P01;Liguria - U03;Liguria
Liguria - P01;Liguria - U02;Liguria
Lombardia 1 - P01;Lombardia 1 - U08;Lombardia 1
Lombardia 1 - P01;Lombardia 1 - U09;Lombardia 1
Lazio 1 - P02;Lazio 1 - U04;Lazio 1
Lombardia 4 - P01;Lombardia 4 - U01;Lombardia 4
Lombardia 3 - P01;Lombardia 3 - U02;Lombardia 3
Lombardia 3 - P01;Lombardia 3 - U01;Lombardia 3
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol
Lombardia 3 - P02;Lombardia 3 - U04;Lombardia 3
Lombardia 3 - P02;Lombardia 3 - U03;Lombardia 3
Lazio 1 - P03;Lazio 1 - U05;Lazio 1
Piemonte 1 - P02;Piemonte 1 - U05;Piemonte 1
Piemonte 1 - P01;Piemonte 1 - U03;Piemonte 1
Lombardia 2 - P02;Lombardia 2 - U04;Lombardia 2
Lazio 1 - P01;Lazio 1 - U01;Lazio 1
Campania 1 - P01;Campania 1 - U03;Campania 1
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol
Lombardia 2 - P01;Lombardia 2 - U02;Lombardia 2
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U03;Friuli-Venezia Giulia
Veneto 2 - P03;Veneto 2 - U06;Veneto 2
Veneto 2 - P01;Veneto 2 - U01;Veneto 2
Lombardia 2 - P02;Lombardia 2 - U03;Lombardia 2
Lombardia 4 - P01;Lombardia 4 - U02;Lombardia 4
Lombardia 4 - P01;Lombardia 4 - U03;Lombardia 4
Lombardia 1 - P01;Lombardia 1 - U04;Lombardia 1
Lombardia 2 - P02;Lombardia 2 - U05;Lombardia 2
Lombardia 1 - P01;Lombardia 1 - U07;Lombardia 1
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol
Lombardia 1 - P02;Lombardia 1 - U01;Lombardia 1
Lombardia 1 - P02;Lombardia 1 - U02;Lombardia 1
Campania 2 - P01;Campania 2 - U03;Campania 2
Lombardia 4 - P01;Lombardia 4 - U04;Lombardia 4
Lombardia 2 - P01;Lombardia 2 - U01;Lombardia 2
Piemonte 1 - P01;Piemonte 1 - U02;Piemonte 1
Lazio 1 - P01;Lazio 1 - U07;Lazio 1
Lombardia 3 - P02;Lombardia 3 - U05;Lombardia 3
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia
Veneto 1 - P01;Veneto 1 - U01;Veneto 1
Veneto 1 - P01;Veneto 1 - U05;Veneto 1
Lombardia 1 - P02;Lombardia 1 - U03;Lombardia 1
Lombardia 1 - P02;Lombardia 1 - U06;Lombardia 1
Lombardia 1 - P01;Lombardia 1 - U05;Lombardia 1
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U02;Friuli-Venezia Giulia
Marche - P01;Marche - U04;Marche
Marche - P01;Marche - U03;Marche
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol
Emilia-Romagna - P01;Emilia-Romagna - U01;Emilia-Romagna
Veneto 2 - P02;Veneto 2 - U05;Veneto 2
Liguria - P01;Liguria - U04;Liguria
Liguria - P01;Liguria - U01;Liguria
Calabria - P01;Calabria - U01;Calabria
Abruzzo - P01;Abruzzo - U03;Abruzzo
Sardegna - P01;Sardegna - U02;Sardegna
Sardegna - P01;Sardegna - U01;Sardegna
Veneto 1 - P01;Veneto 1 - U04;Veneto 1
Veneto 1 - P01;Veneto 1 - U03;Veneto 1
Veneto 2 - P03;Veneto 2 - U07;Veneto 2
Lazio 2 - P02;Lazio 2 - U04;Lazio 2
Lazio 1 - P02;Lazio 1 - U09;Lazio 1
Emilia-Romagna - P03;Emilia-Romagna - U11;Emilia-Romagna
Emilia-Romagna - P03;Emilia-Romagna - U09;Emilia-Romagna
Emilia-Romagna - P01;Emilia-Romagna - U03;Emilia-Romagna
Puglia - P04;Puglia - U07;Puglia
Campania 2 - P02;Campania 2 - U04;Campania 2
Campania 1 - P01;Campania 1 - U02;Campania 1
Sicilia 1 - P01;Sicilia 1 - U02;Sicilia 1
Lazio 1 - P03;Lazio 1 - U06;Lazio 1
Veneto 1 - P01;Veneto 1 - U02;Veneto 1
Sicilia 1 - P01;Sicilia 1 - U01;Sicilia 1
Veneto 2 - P01;Veneto 2 - U03;Veneto 2
Veneto 2 - P02;Veneto 2 - U04;Veneto 2
Campania 2 - P02;Campania 2 - U05;Campania 2
Campania 2 - P01;Campania 2 - U01;Campania 2
Piemonte 1 - P01;Piemonte 1 - U01;Piemonte 1
Veneto 2 - P01;Veneto 2 - U02;Veneto 2
Toscana - P02;Toscana - U05;Toscana
Emilia-Romagna - P02;Emilia-Romagna - U07;Emilia-Romagna
Emilia-Romagna - P02;Emilia-Romagna - U05;Emilia-Romagna
Emilia-Romagna - P02;Emilia-Romagna - U04;Emilia-Romagna
Toscana - P02;Toscana - U09;Toscana
Toscana - P02;Toscana - U01;Toscana
Basilicata - P01;Basilicata - U01;Basilicata
Lazio 2 - P01;Lazio 2 - U02;Lazio 2
Toscana - P03;Toscana - U04;Toscana
Toscana - P01;Toscana - U03;Toscana
Lazio 2 - P02;Lazio 2 - U05;Lazio 2
Campania 2 - P02;Campania 2 - U07;Campania 2
Abruzzo - P01;Abruzzo - U01;Abruzzo
Calabria - P01;Calabria - U02;Calabria
Marche - P01;Marche - U02;Marche
Emilia-Romagna - P01;Emilia-Romagna - U02;Emilia-Romagna
Emilia-Romagna - P03;Emilia-Romagna - U08;Emilia-Romagna
Toscana - P01;Toscana - U02;Toscana
Marche - P01;Marche - U01;Marche
Sicilia 1 - P01;Sicilia 1 - U03;Sicilia 1
Sicilia 1 - P02;Sicilia 1 - U04;Sicilia 1
Sicilia 2 - P03;Sicilia 2 - U01;Sicilia 2
Umbria - P01;Umbria - U01;Umbria
Umbria - P01;Umbria - U02;Umbria
Campania 1 - P02;Campania 1 - U07;Campania 1
Campania 1 - P02;Campania 1 - U06;Campania 1
Sicilia 2 - P02;Sicilia 2 - U03;Sicilia 2
Campania 2 - P02;Campania 2 - U06;Campania 2
Campania 2 - P01;Campania 2 - U02;Campania 2
Sicilia 2 - P01;Sicilia 2 - U05;Sicilia 2
Lazio 2 - P01;Lazio 2 - U01;Lazio 2
Toscana - P03;Toscana - U08;Toscana
Toscana - P01;Toscana - U06;Toscana
Lazio 1 - P03;Lazio 1 - U08;Lazio 1
Emilia-Romagna - P03;Emilia-Romagna - U10;Emilia-Romagna
Sicilia 2 - P01;Sicilia 2 - U06;Sicilia 2
Campania 1 - P01;Campania 1 - U01;Campania 1
Campania 1 - P02;Campania 1 - U04;Campania 1
Puglia - P04;Puglia - U09;Puglia
Molise - P01;Molise - U01;Molise
Abruzzo - P01;Abruzzo - U02;Abruzzo
Puglia - P01;Puglia - U02;Puglia
Puglia - P02;Puglia - U04;Puglia
Puglia - P03;Puglia - U08;Puglia
Puglia - P01;Puglia - U01;Puglia
Emilia-Romagna - P02;Emilia-Romagna - U06;Emilia-Romagna
Sicilia 2 - P03;Sicilia 2 - U04;Sicilia 2
Sardegna - P01;Sardegna - U04;Sardegna
Puglia - P04;Puglia - U10;Puglia
Sardegna - P01;Sardegna - U03;Sardegna
Campania 1 - P02;Campania 1 - U05;Campania 1
Calabria - P01;Calabria - U05;Calabria
Calabria - P01;Calabria - U04;Calabria
Calabria - P01;Calabria - U03;Calabria
Sicilia 1 - P02;Sicilia 1 - U05;Sicilia 1
Lazio 2 - P02;Lazio 2 - U03;Lazio 2
Puglia - P03;Puglia - U06;Puglia
Puglia - P02;Puglia - U05;Puglia
Toscana - P03;Toscana - U07;Toscana
Sicilia 2 - P02;Sicilia 2 - U02;Sicilia 2
Lazio 1 - P02;Lazio 1 - U03;Lazio 1
Sicilia 1 - P02;Sicilia 1 - U06;Sicilia 1
Puglia - P01;Puglia - U03;Puglia
Lazio 1 - P01;Lazio 1 - U02;Lazio 1
