COLLEGIOPLURINOMINALE;COLLEGIOUNINOMINALE;DENOM_REGIONE;COD_REGIONE
Valle d'aosta/Vallée d'Aoste - P01;Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta;2
Piemonte - P02;Piemonte - U03;Piemonte;1
Piemonte - P01;Piemonte - U02;Piemonte;1
Piemonte - P02;Piemonte - U05;Piemonte;1
Piemonte - P02;Piemonte - U04;Piemonte;1
Liguria - P01;Liguria - U02;Liguria;7
Liguria - P01;Liguria - U01;Liguria;7
Lombardia - P02;Lombardia - U03;Lombardia;3
Lazio - P01;Lazio - U04;Lazio;12
Lombardia - P02;Lombardia - U10;Lombardia;3
Lombardia - P03;Lombardia - U07;Lombardia;3
Lombardia - P03;Lombardia - U09;Lombardia;3
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige;4
Lombardia - P03;Lombardia - U08;Lombardia;3
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige;4
Lombardia - P01;Lombardia - U02;Lombardia;3
Lazio - P01;Lazio - U02;Lazio;12
Campania - P01;Campania - U04;Campania;15
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U06;Trentino-Alto Adige;4
Lombardia - P01;Lombardia - U01;Lombardia;3
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia;6
Veneto - P02;Veneto - U05;Veneto;5
Veneto - P01;Veneto - U01;Veneto;5
Lombardia - P02;Lombardia - U05;Lombardia;3
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige;4
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U05;Trentino-Alto Adige;4
Lombardia - P01;Lombardia - U06;Lombardia;3
Lombardia - P02;Lombardia - U04;Lombardia;3
Campania - P02;Campania - U02;Campania;15
Lombardia - P03;Lombardia - U11;Lombardia;3
Piemonte - P01;Piemonte - U01;Piemonte;1
Veneto - P01;Veneto - U02;Veneto;5
Marche - P01;Marche - U02;Marche;11
Emilia-Romagna - P01;Emilia-Romagna - U01;Emilia-Romagna;8
Veneto - P02;Veneto - U04;Veneto;5
Calabria - P01;Calabria - U01;Calabria;18
Abruzzo - P01;Abruzzo - U01;Abruzzo;13
Sardegna - P01;Sardegna - U01;Sardegna;20
Lazio - P02;Lazio - U06;Lazio;12
Lazio - P02;Lazio - U05;Lazio;12
Emilia-Romagna - P02;Emilia-Romagna - U05;Emilia-Romagna;8
Emilia-Romagna - P02;Emilia-Romagna - U04;Emilia-Romagna;8
Emilia-Romagna - P01;Emilia-Romagna - U02;Emilia-Romagna;8
Puglia - P01;Puglia - U04;Puglia;16
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige;4
Sicilia - P01;Sicilia - U01;Sicilia;19
Veneto - P02;Veneto - U03;Veneto;5
Campania - P01;Campania - U06;Campania;15
Campania - P02;Campania - U01;Campania;15
Toscana - P01;Toscana - U02;Toscana;9
Emilia-Romagna - P02;Emilia-Romagna - U03;Emilia-Romagna;8
Toscana - P01;Toscana - U01;Toscana;9
Basilicata - P01;Basilicata - U01;Basilicata;17
Lazio - P02;Lazio - U01;Lazio;12
Toscana - P01;Toscana - U03;Toscana;9
Campania - P02;Campania - U03;Campania;15
Marche - P01;Marche - U01;Marche;11
Sicilia - P01;Sicilia - U02;Sicilia;19
Sicilia - P01;Sicilia - U03;Sicilia;19
Sicilia - P02;Sicilia - U05;Sicilia;19
Umbria - P01;Umbria - U01;Umbria;10
Campania - P01;Campania - U07;Campania;15
Sicilia - P02;Sicilia - U04;Sicilia;19
Sicilia - P02;Sicilia - U06;Sicilia;19
Toscana - P01;Toscana - U04;Toscana;9
Campania - P01;Campania - U05;Campania;15
Puglia - P01;Puglia - U05;Puglia;16
Molise - P01;Molise - U01;Molise;14
Puglia - P01;Puglia - U01;Puglia;16
Puglia - P01;Puglia - U03;Puglia;16
Sardegna - P01;Sardegna - U02;Sardegna;20
Calabria - P01;Calabria - U02;Calabria;18
Puglia - P01;Puglia - U02;Puglia;16
Lazio - P01;Lazio - U03;Lazio;12
