COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Piemonte - U01;1;AZIONE-IV;37999.50700007493;296463.66365813976;0.13216647655232155
Piemonte - U02;1;AZIONE-IV;20333.9772593179;284903.5752418574;0.07536197841077542
Piemonte - U03;1;AZIONE-IV;15088.760486969213;256385.53065121174;0.06284238351563932
Piemonte - U04;1;AZIONE-IV;14219.342205029354;254088.0948550552;0.05995279533499583
Piemonte - U05;1;AZIONE-IV;21153.110752938377;283925.23061427474;0.07849294127933475
Valle d'aosta/Vallée d'Aoste - U01;2;AZIONE-IV;100.0;61938.0;0.0003530999259395938
Lombardia - U01;3;AZIONE-IV;15545.389948966855;298723.4623938352;0.05602994317608976
Lombardia - U02;3;AZIONE-IV;12026.03695509745;250741.36705390736;0.05195246078252405
Lombardia - U03;3;AZIONE-IV;38850.9743740397;263094.2421939671;0.15165996335743356
Lombardia - U04;3;AZIONE-IV;17044.04218994898;288145.1839722791;0.06314142594289791
Lombardia - U05;3;AZIONE-IV;16638.22927024482;299906.14369349927;0.059468663312193734
Lombardia - U06;3;AZIONE-IV;18152.40669816753;300600.95131127536;0.06437759923049319
Lombardia - U07;3;AZIONE-IV;16738.09017226094;313084.5897071101;0.05745242061385175
Lombardia - U08;3;AZIONE-IV;10286.761337726703;279591.9773825258;0.040782590096652645
Lombardia - U09;3;AZIONE-IV;10993.346554123455;268964.2204530053;0.0448634382974924
Lombardia - U10;3;AZIONE-IV;13988.345619125968;274274.2146000862;0.054991857520669304
Lombardia - U11;3;AZIONE-IV;10033.93209796302;270597.8844897002;0.04107114318023669
Trentino-Alto Adige/Südtirol - U01;4;AZIONE-IV;7995.19352025364;116335.0;0.07271614976343353
Trentino-Alto Adige/Südtirol - U02;4;AZIONE-IV;5731.894870533078;91603.0;0.06656376467737524
Trentino-Alto Adige/Südtirol - U03;4;AZIONE-IV;2938.2515287921474;62210.0;0.051221719628865736
Trentino-Alto Adige/Südtirol - U04;4;AZIONE-IV;4124.779088370979;82745.99506795406;0.05383922805279811
Trentino-Alto Adige/Südtirol - U05;4;AZIONE-IV;1039.7923570688854;59498.99645358324;0.0214663390583075
Trentino-Alto Adige/Südtirol - U06;4;AZIONE-IV;790.7678107448831;73674.0;0.014723878700181723
Veneto - U01;5;AZIONE-IV;12188.165287695816;269099.3828214382;0.04928297372601355
Veneto - U02;5;AZIONE-IV;15416.221281291446;305628.9473797679;0.054431514847014466
Veneto - U03;5;AZIONE-IV;19409.054259123008;328526.3079433441;0.06306969017225883
Veneto - U04;5;AZIONE-IV;14122.445784491889;307569.2965750694;0.04990684800806898
Veneto - U05;5;AZIONE-IV;10858.496746517498;233000.03237456083;0.05059352635941738
Friuli-Venezia Giulia - U01;6;AZIONE-IV;19214.358684386738;326791.5909515619;0.06278752265028653
Liguria - U01;7;AZIONE-IV;14896.322080402664;259929.9117666781;0.06129953776262606
Liguria - U02;7;AZIONE-IV;20113.848289701036;275647.6439447701;0.07695996100690924
Emilia-Romagna - U01;8;AZIONE-IV;12791.546202793077;244450.76805799454;0.056318241471716365
