COLLEGIOPLURINOMINALE;COLLEGIOUNINOMINALE
Valle d'aosta/Vallée d'Aoste;Valle d'aosta/Vallée d'Aoste - U01
Piemonte 2 - P01;Piemonte 2 - U02
Piemonte 1 - P02;Piemonte 1 - U04
Piemonte 2 - P02;Piemonte 2 - U05
Piemonte 2 - P02;Piemonte 2 - U04
Piemonte 2 - P01;Piemonte 2 - U03
Piemonte 2 - P02;Piemonte 2 - U01
Liguria - P01;Liguria - U03
Liguria - P01;Liguria - U02
Lombardia 1 - P01;Lombardia 1 - U08
Lombardia 1 - P01;Lombardia 1 - U09
Lazio 1 - P02;Lazio 1 - U04
Lombardia 4 - P01;Lombardia 4 - U01
Lombardia 3 - P01;Lombardia 3 - U02
Lombardia 3 - P01;Lombardia 3 - U01
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U02
Lombardia 3 - P02;Lombardia 3 - U04
Lombardia 3 - P02;Lombardia 3 - U03
Lazio 1 - P03;Lazio 1 - U05
Piemonte 1 - P02;Piemonte 1 - U05
Piemonte 1 - P01;Piemonte 1 - U03
Lombardia 2 - P02;Lombardia 2 - U04
Lazio 1 - P01;Lazio 1 - U01
Campania 1 - P01;Campania 1 - U03
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U04
Lombardia 2 - P01;Lombardia 2 - U02
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U03
Veneto 2 - P03;Veneto 2 - U06
Veneto 2 - P01;Veneto 2 - U01
Lombardia 2 - P02;Lombardia 2 - U03
Lombardia 4 - P01;Lombardia 4 - U02
Lombardia 4 - P01;Lombardia 4 - U03
Lombardia 1 - P01;Lombardia 1 - U04
Lombardia 2 - P02;Lombardia 2 - U05
Lombardia 1 - P01;Lombardia 1 - U07
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U01
Lombardia 1 - P02;Lombardia 1 - U01
Lombardia 1 - P02;Lombardia 1 - U02
Campania 2 - P01;Campania 2 - U03
Lombardia 4 - P01;Lombardia 4 - U04
Lombardia 2 - P01;Lombardia 2 - U01
Piemonte 1 - P01;Piemonte 1 - U02
Lazio 1 - P01;Lazio 1 - U07
Lombardia 3 - P02;Lombardia 3 - U05
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U01
Veneto 1 - P01;Veneto 1 - U01
Veneto 1 - P01;Veneto 1 - U05
Lombardia 1 - P02;Lombardia 1 - U03
Lombardia 1 - P02;Lombardia 1 - U06
Lombardia 1 - P01;Lombardia 1 - U05
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U02
Marche - P01;Marche - U04
Marche - P01;Marche - U03
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U03
Emilia-Romagna - P01;Emilia-Romagna - U01
Veneto 2 - P02;Veneto 2 - U05
Liguria - P01;Liguria - U04
Liguria - P01;Liguria - U01
Calabria - P01;Calabria - U01
Abruzzo - P01;Abruzzo - U03
Sardegna - P01;Sardegna - U02
Sardegna - P01;Sardegna - U01
Veneto 1 - P01;Veneto 1 - U04
Veneto 1 - P01;Veneto 1 - U03
Veneto 2 - P03;Veneto 2 - U07
Lazio 2 - P02;Lazio 2 - U04
Lazio 1 - P02;Lazio 1 - U09
Emilia-Romagna - P03;Emilia-Romagna - U11
Emilia-Romagna - P03;Emilia-Romagna - U09
Emilia-Romagna - P01;Emilia-Romagna - U03
Puglia - P04;Puglia - U07
Campania 2 - P02;Campania 2 - U04
Campania 1 - P01;Campania 1 - U02
Sicilia 1 - P01;Sicilia 1 - U02
Lazio 1 - P03;Lazio 1 - U06
Veneto 1 - P01;Veneto 1 - U02
Sicilia 1 - P01;Sicilia 1 - U01
Veneto 2 - P01;Veneto 2 - U03
Veneto 2 - P02;Veneto 2 - U04
Campania 2 - P02;Campania 2 - U05
Campania 2 - P01;Campania 2 - U01
Piemonte 1 - P01;Piemonte 1 - U01
Veneto 2 - P01;Veneto 2 - U02
Toscana - P02;Toscana - U05
Emilia-Romagna - P02;Emilia-Romagna - U07
Emilia-Romagna - P02;Emilia-Romagna - U05
Emilia-Romagna - P02;Emilia-Romagna - U04
Toscana - P02;Toscana - U09
Toscana - P02;Toscana - U01
Basilicata - P01;Basilicata - U01
Lazio 2 - P01;Lazio 2 - U02
Toscana - P03;Toscana - U04
Toscana - P01;Toscana - U03
Lazio 2 - P02;Lazio 2 - U05
Campania 2 - P02;Campania 2 - U07
Abruzzo - P01;Abruzzo - U01
Calabria - P01;Calabria - U02
Marche - P01;Marche - U02
Emilia-Romagna - P01;Emilia-Romagna - U02
Emilia-Romagna - P03;Emilia-Romagna - U08
Toscana - P01;Toscana - U02
Marche - P01;Marche - U01
Sicilia 1 - P01;Sicilia 1 - U03
Sicilia 1 - P02;Sicilia 1 - U04
Sicilia 2 - P03;Sicilia 2 - U01
Umbria - P01;Umbria - U01
Umbria - P01;Umbria - U02
Campania 1 - P02;Campania 1 - U07
Campania 1 - P02;Campania 1 - U06
Sicilia 2 - P02;Sicilia 2 - U03
Campania 2 - P02;Campania 2 - U06
Campania 2 - P01;Campania 2 - U02
Sicilia 2 - P01;Sicilia 2 - U05
Lazio 2 - P01;Lazio 2 - U01
Toscana - P03;Toscana - U08
Toscana - P01;Toscana - U06
Lazio 1 - P03;Lazio 1 - U08
Emilia-Romagna - P03;Emilia-Romagna - U10
Sicilia 2 - P01;Sicilia 2 - U06
Campania 1 - P01;Campania 1 - U01
Campania 1 - P02;Campania 1 - U04
Puglia - P04;Puglia - U09
Molise - P01;Molise - U01
Abruzzo - P01;Abruzzo - U02
Puglia - P01;Puglia - U02
Puglia - P02;Puglia - U04
Puglia - P03;Puglia - U08
Puglia - P01;Puglia - U01
Emilia-Romagna - P02;Emilia-Romagna - U06
Sicilia 2 - P03;Sicilia 2 - U04
Sardegna - P01;Sardegna - U04
Puglia - P04;Puglia - U10
Sardegna - P01;Sardegna - U03
Campania 1 - P02;Campania 1 - U05
Calabria - P01;Calabria - U05
Calabria - P01;Calabria - U04
Calabria - P01;Calabria - U03
Sicilia 1 - P02;Sicilia 1 - U05
