COLLEGIOPLURINOMINALE;COLLEGIOUNINOMINALE
Valle d'aosta/Vallée d'Aoste - P01;Valle d'aosta/Vallée d'Aoste - U01
Piemonte - P02;Piemonte - U03
Piemonte - P01;Piemonte - U02
Piemonte - P02;Piemonte - U05
Piemonte - P02;Piemonte - U04
Liguria - P01;Liguria - U02
Liguria - P01;Liguria - U01
Lombardia - P02;Lombardia - U03
Lazio - P01;Lazio - U04
Lombardia - P02;Lombardia - U10
Lombardia - P03;Lombardia - U07
Lombardia - P03;Lombardia - U09
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U02
Lombardia - P03;Lombardia - U08
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U03
Lombardia - P01;Lombardia - U02
Lazio - P01;Lazio - U02
Campania - P01;Campania - U04
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U06
Lombardia - P01;Lombardia - U01
Friuli-Venezia Giulia - P01;Friuli-Venezia Giulia - U01
Veneto - P02;Veneto - U05
Veneto - P01;Veneto - U01
Lombardia - P02;Lombardia - U05
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U01
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U05
Lombardia - P01;Lombardia - U06
Lombardia - P02;Lombardia - U04
Campania - P02;Campania - U02
Lombardia - P03;Lombardia - U11
Piemonte - P01;Piemonte - U01
Veneto - P01;Veneto - U02
Marche - P01;Marche - U02
Emilia-Romagna - P01;Emilia-Romagna - U01
Veneto - P02;Veneto - U04
Calabria - P01;Calabria - U01
Abruzzo - P01;Abruzzo - U01
Sardegna - P01;Sardegna - U01
Lazio - P02;Lazio - U06
Lazio - P02;Lazio - U05
Emilia-Romagna - P02;Emilia-Romagna - U05
Emilia-Romagna - P02;Emilia-Romagna - U04
Emilia-Romagna - P01;Emilia-Romagna - U02
Puglia - P01;Puglia - U04
Trentino-Alto Adige/Südtirol - P01;Trentino-Alto Adige/Südtirol - U04
Sicilia - P01;Sicilia - U01
Veneto - P02;Veneto - U03
Campania - P01;Campania - U06
Campania - P02;Campania - U01
Toscana - P01;Toscana - U02
Emilia-Romagna - P02;Emilia-Romagna - U03
Toscana - P01;Toscana - U01
Basilicata - P01;Basilicata - U01
Lazio - P02;Lazio - U01
Toscana - P01;Toscana - U03
Campania - P02;Campania - U03
Marche - P01;Marche - U01
Sicilia - P01;Sicilia - U02
Sicilia - P01;Sicilia - U03
Sicilia - P02;Sicilia - U05
Umbria - P01;Umbria - U01
Campania - P01;Campania - U07
Sicilia - P02;Sicilia - U04
Sicilia - P02;Sicilia - U06
Toscana - P01;Toscana - U04
Campania - P01;Campania - U05
Puglia - P01;Puglia - U05
Molise - P01;Molise - U01
Puglia - P01;Puglia - U01
Puglia - P01;Puglia - U03
Sardegna - P01;Sardegna - U02
Calabria - P01;Calabria - U02
Puglia - P01;Puglia - U02
Lazio - P01;Lazio - U03
