ALTRI;AZN;FDI;FI;LEGA;LEUV;M5S;PD;SVP;CODICE_REGIONE;SU20_COD;COLLEGIOUNINOMINALE
15025.084796033741;17915.87316835794;10289.526675119996;37257.70960761065;50256.67710080999;15732.083290642186;72237.83144306432;77748.87757650093;0.0;1;10001;Piemonte - U01
14029.731764939153;9817.375130820175;9749.71106139127;38511.08967631139;61882.385324885654;10067.11082283949;83292.90455135891;57553.26690931136;0.0;1;10002;Piemonte - U02
12878.933320522308;7367.011645078659;11354.338262319565;40408.14924323559;66168.78714990616;6758.8645886182785;61306.08005440235;50143.36638712883;0.0;1;10003;Piemonte - U03
12368.808122839779;6965.285940323025;9576.591863140464;39196.93772703037;65433.61130326986;8039.595716599375;65024.24634979293;47483.01783205941;0.0;1;10004;Piemonte - U04
15591.96581953764;10190.131447851658;11050.013307958841;41751.04181462526;78154.64883613586;7879.990476548672;66691.73799419403;52615.70091742277;0.0;1;10005;Piemonte - U05
15355.0;0.0;5223.0;0.0;11004.0;0.0;14398.0;15958.0;0.0;Valle d'aosta/Vallée d'Aoste;20001;Valle d'aosta/Vallée d'Aoste - U01
15828.092898920178;7653.052845403552;13430.020527645946;45392.82683335245;86264.09374599159;6141.917188197374;67234.93296694756;56778.52538737655;0.0;3;30001;Lombardia - U01
11985.111518096179;5956.310212824494;10711.665955860168;38832.022313240916;88445.83122909442;5146.085150368512;45873.8389095515;43790.50176487118;0.0;3;30002;Lombardia - U02
14748.256384253502;18244.31181514263;10558.027993053198;39596.96989417076;49673.670453339815;10950.093446135521;49498.785983115435;69824.12622475624;0.0;3;30003;Lombardia - U03
13873.105758670717;8318.996594387107;10926.075957102235;39286.65436422173;70775.01201233314;8810.441395045258;73470.61558169639;62684.2823088225;0.0;3;30004;Lombardia - U04
14636.975064061582;8154.901791252196;12541.339343063533;40822.27117153257;76167.79367505014;8226.052476212382;75723.4386338368;63633.37153849006;0.0;3;30005;Lombardia - U05
14985.469949305058;8848.51361386478;11672.75248785317;42850.93706417084;76810.26997697353;8771.476061448455;70162.68016956747;66498.85198809206;0.0;3;30006;Lombardia - U06
15689.65560712479;8224.608209822327;14452.852108402178;40703.26368329674;107612.09234044701;6875.781502803788;51544.963195303455;67981.37305990979;0.0;3;30007;Lombardia - U07
13849.628261007369;5213.684006541967;12373.584262542427;37330.247012361884;103223.04605321586;6245.699950106442;48994.806680358946;52361.281156390905;0.0;3;30008;Lombardia - U08
13530.7496182397;5517.371931742877;11614.278002966195;36395.562215559185;91776.21223212406;6207.988066982478;51273.263487715274;52648.794897675514;0.0;3;30009;Lombardia - U09
14363.804779171944;6896.497220039368;11535.82035124302;43419.125426113605;79609.48912221193;7071.516125917435;59455.805876135826;51922.15569925308;0.0;3;30010;Lombardia - U10
15327.950799331069;5081.669124558568;10914.120313093066;34647.887846276164;76449.57499167323;7062.023932725191;61576.53001661599;59538.12746542692;0.0;3;30011;Lombardia - U11
6894.0;3868.0;4342.0;10199.0;29905.0;3761.0;25264.0;24479.0;7623.0;Trentino-Alto Adige/Südtirol;40001;Trentino-Alto Adige/Südtirol - U01
6092.0;2788.0;3248.0;8065.0;23185.0;2582.0;23838.0;17892.0;3913.0;Trentino-Alto Adige/Südtirol;40002;Trentino-Alto Adige/Südtirol - U02
4987.0;1457.0;2004.0;6140.0;19866.0;1416.0;13797.0;9022.0;3521.0;Trentino-Alto Adige/Südtirol;40003;Trentino-Alto Adige/Südtirol - U03
6581.999607682228;2036.9998785853386;2363.9998590946198;6109.99963581562;12331.99926495552;3866.9997695088387;16605.99901020527;10860.999352633953;21986.998689472675;Trentino-Alto Adige/Südtirol;40004;Trentino-Alto Adige/Südtirol - U04
