COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Piemonte - U01;1;AZN;55303.457431178496;296463.66365813976;0.186543796797136
Piemonte - U02;1;AZN;30304.679126224622;284903.5752418574;0.1063681952762393
Piemonte - U03;1;AZN;22740.795889768302;256385.53065121174;0.08869765712599828
Piemonte - U04;1;AZN;21500.732388358734;254088.0948550552;0.08461920421979569
Piemonte - U05;1;AZN;31455.3187248327;283925.23061427474;0.11078733178019735
Valle d'aosta/Vallée d'Aoste - U01;2;AZN;30.868413116951807;61938.0;0.0004983760069255031
Lombardia - U01;3;AZN;23623.759683778044;298723.4623938352;0.07908237101454262
Lombardia - U02;3;AZN;18386.18443021858;250741.36705390736;0.07332728797903418
Lombardia - U03;3;AZN;56317.29541443069;263094.2421939671;0.21405749873047614
Lombardia - U04;3;AZN;25679.422359405628;288145.1839722791;0.0891197347302397
Lombardia - U05;3;AZN;25172.88774205432;299906.14369349927;0.08393588551417183
Lombardia - U06;3;AZN;27313.957370375;300600.95131127536;0.09086450741831191
Lombardia - U07;3;AZN;25388.060394586886;313084.5897071101;0.08109009906344275
Lombardia - U08;3;AZN;16093.815177518185;279591.9773825258;0.05756179175162567
Lombardia - U09;3;AZN;17031.251610891344;268964.2204530053;0.06332162539019619
Lombardia - U10;3;AZN;21288.392524808485;274274.2146000862;0.07761718525326439
Lombardia - U11;3;AZN;15686.306186053253;270597.8844897002;0.05796906437622325
Trentino-Alto Adige/Südtirol - U01;4;AZN;11939.902193636968;116335.0;0.10263379201132049
Trentino-Alto Adige/Südtirol - U02;4;AZN;8606.113577006165;91603.0;0.09395012801989197
Trentino-Alto Adige/Südtirol - U03;4;AZN;4497.527791139879;62210.0;0.07229589762320976
Trentino-Alto Adige/Südtirol - U04;4;AZN;6287.8953771352835;82745.99506795406;0.07599032886088845
Trentino-Alto Adige/Südtirol - U05;4;AZN;1802.7152185797777;59498.99645358324;0.030298245786147402
Trentino-Alto Adige/Südtirol - U06;4;AZN;1531.0732906008107;73674.0;0.0207817315552408
Veneto - U01;5;AZN;18718.41650481062;269099.3828214382;0.06955949251370556
Veneto - U02;5;AZN;23480.34135601135;305628.9473797679;0.07682630051019083
Veneto - U03;5;AZN;29244.914109064906;328526.3079433441;0.08901848467523132
Veneto - U04;5;AZN;21665.19592393572;307569.2965750694;0.07044004770693302
Veneto - U05;5;AZN;16638.356741548643;233000.03237456083;0.07140924647942339
Friuli-Venezia Giulia - U01;6;AZN;28960.34426172871;326791.5909515619;0.08862022482708652
Liguria - U01;7;AZN;22489.145730338034;259929.9117666781;0.0865200375650689
Liguria - U02;7;AZN;29941.849521909568;275647.6439447701;0.10862363665952045
Emilia-Romagna - U01;8;AZN;19431.21653196008;244450.76805799454;0.07948928402364494
Emilia-Romagna - U02;8;AZN;24012.829010048852;263189.1880475879;0.09123790072146518
Emilia-Romagna - U03;8;AZN;35861.309673805226;330507.8663889915;0.10850364944596577
Emilia-Romagna - U04;8;AZN;24685.049041353428;304800.97532220185;0.08098743455548044
Emilia-Romagna - U05;8;AZN;20572.98388235648;294932.2866081353;0.06975493974890234
Toscana - U01;9;AZN;21173.173080329227;282921.3234894583;0.07483767154481781
Toscana - U02;9;AZN;19005.28392300782;278415.62731820345;0.0682622743057685
Toscana - U03;9;AZN;18195.267130381824;279701.10023709945;0.06505254042604017
Toscana - U04;9;AZN;23359.195996487648;281462.0382459685;0.08299235002367937
Umbria - U01;10;AZN;11883.791331981589;226668.74754288793;0.05242800986374648
Marche - U01;11;AZN;14078.648110205544;267559.98650819063;0.05261866056258963
Marche - U02;11;AZN;15306.59587285978;258205.0538301207;0.059280775669597684
Lazio - U01;12;AZN;15155.603838181562;277045.6394928852;0.05470435797481942
Lazio - U02;12;AZN;37142.704648901534;282989.0165227194;0.1312514001613896
Lazio - U03;12;AZN;30723.40956168234;269978.09016599134;0.11379964034412046
Lazio - U04;12;AZN;24292.229298000657;288765.1309056971;0.0841245243904945
Lazio - U05;12;AZN;14129.41603954418;272129.6387881413;0.05192163596169041
Lazio - U06;12;AZN;8169.929701834412;263396.61430072784;0.031017595740644402
Abruzzo - U01;13;AZN;15628.385475205012;326782.35374599695;0.04782505938907804
Molise - U01;14;AZN;4065.370007502549;149550.0;0.02718401877300267
Campania - U01;15;AZN;7316.951960957549;254987.3588103056;0.02869535178173635
Campania - U02;15;AZN;7151.681002014689;237570.71353250742;0.030103378045527086
Campania - U03;15;AZN;7868.757781372261;234154.760910701;0.03360494465612488
Campania - U04;15;AZN;10665.231431681284;191402.93359225988;0.05572135824417988
Campania - U05;15;AZN;6009.975500780582;254727.94505777955;0.023593703075716125
Campania - U06;15;AZN;8754.802536066043;239903.60182176347;0.03649300164559609
Campania - U07;15;AZN;5857.16764908008;224599.40623291582;0.02607828643592243
Puglia - U01;16;AZN;5206.0975556026415;202591.9978326559;0.02569744911594661
Puglia - U02;16;AZN;7371.407174631989;236896.74676036835;0.031116540330072565
Puglia - U03;16;AZN;9987.628087067282;245213.39931461215;0.04073035207286131
Puglia - U04;16;AZN;8399.341589985894;242377.92115074396;0.034653905562470874
Puglia - U05;16;AZN;8292.09135710479;254685.83316797018;0.03255811779540952
Basilicata - U01;17;AZN;11649.739110337607;276215.0;0.042176344913699856
Calabria - U01;18;AZN;4679.617566995601;202176.98605054617;0.023146143675451033
Calabria - U02;18;AZN;5061.614715832944;205483.29352986813;0.024632731103744015
Sicilia - U01;19;AZN;9566.271085599374;232841.1329860687;0.04108497052439502
Sicilia - U02;19;AZN;6495.032443044717;239444.15840884298;0.027125457919732015
Sicilia - U03;19;AZN;5423.494889486506;213472.043840006;0.02540611309999604
Sicilia - U04;19;AZN;6841.8666864350025;247416.922534734;0.027653188053353532
Sicilia - U05;19;AZN;7926.173030257375;274350.733809188;0.028890657299171136
Sicilia - U06;19;AZN;7271.047920648046;219474.65565258265;0.033129328300019065
Sardegna - U01;20;AZN;13714.565711051975;268314.06698548794;0.05111385275149865
Sardegna - U02;20;AZN;9166.740348379306;239644.55647927523;0.03825140233958144
